Porsche,-1.463366472005000000000000000000,-0.379352165370800000000000000000
Nike athletic shoes,-1.235356551405000000000000000000,1.696363946463000000000000000000
Mercedes,-1.150392959552000000000000000000,-0.752151664016300000000000000000
Lexus,-1.413409716576000000000000000000,-0.840777563639200000000000000000
Calvin Klein perfume,-1.490651161978000000000000000000,-1.490058965443000000000000000000
Reebok athletic shoes,-0.928856779784000000000000000000,1.723226724213000000000000000000
Guess jeans,-1.461162275175000000000000000000,0.293618220166700000000000000000
Levi 's jeans,-0.428112309971200000000000000000,1.560886527962000000000000000000
American Express,-1.483539795699000000000000000000,-1.246236216518000000000000000000
Three mobile phone network,-1.035105971734000000000000000000,0.270154921828800000000000000000
Michelin tires,-0.694026572196700000000000000000,1.648646761036000000000000000000
Visa,-0.614401606572600000000000000000,-0.283179409999600000000000000000
Foxtel cable,-0.600334034093100000000000000000,-0.152239638535000000000000000000
IBM computers,-0.662460301569200000000000000000,-1.072354472868000000000000000000
Sony televisions,-0.505413978112300000000000000000,-1.107138576830000000000000000000
Apple computers,-0.530714629472900000000000000000,-1.174797044544000000000000000000
Lee jeans,-0.279776133843700000000000000000,2.667682152992000000000000000000
Telstra,-0.536309006576800000000000000000,0.237641739869500000000000000000
Qantas,-0.087416865554500000000000000000,-0.145884367803600000000000000000
Revlon cosmetics,-0.197088684239300000000000000000,-1.214826577173000000000000000000
Toyota,-0.038906068056090000000000000000,1.120051731034000000000000000000
Pepsi Cola,0.133041820941700000000000000000,1.140746332418000000000000000000
Diet Coke,0.182437580250000000000000000000,0.870365405141200000000000000000
SBS TV,0.243117520135400000000000000000,-0.520323394923400000000000000000
Kettle chips,0.596267863557800000000000000000,0.312351981803600000000000000000
Thins chips,0.925771780320700000000000000000,0.712688210696400000000000000000
Oil of Olay lotion,0.495089869610500000000000000000,-1.409354792266000000000000000000
Cheezels,1.500520625135000000000000000000,1.192577563219000000000000000000
McDonald's,0.771534817626900000000000000000,0.536753213791800000000000000000
Kodak film,0.547511903605100000000000000000,0.352335762863300000000000000000
Mattel toys,0.756945359479000000000000000000,0.201980091358100000000000000000
Avon cosmetics,1.224315574928000000000000000000,-0.713986429680700000000000000000
Cadbury s chocolate,0.805760900560400000000000000000,-0.462433930967200000000000000000
ABC radio,0.764355235597600000000000000000,-1.064628191382000000000000000000
Hallmark cards,0.821497889673300000000000000000,-1.360865293643000000000000000000
Arnott's,1.641650312930000000000000000000,-0.254001592034900000000000000000
Coco Pops,2.025627143634000000000000000000,0.221032641613100000000000000000
Lego,1.146020979644000000000000000000,-0.006234673891588000000000000000
Panadol pain reliever,1.139169270299000000000000000000,-0.208230171069800000000000000000
Colgate toothpaste,1.208417377039000000000000000000,-0.201231445288500000000000000000
Kmart,1.589810627247000000000000000000,0.543439010067300000000000000000
Campbell's soup,1.965506694775000000000000000000,-0.229969450459200000000000000000
